scenario,supply_ratio,seed,num_tasks,num_volunteers,total_demand,method,completed_tasks,completed_urgency,completion_rate,urgency_weighted_completion,total_distance_km,distance_per_completed_task,distance_per_completed_urgency
resource_rich,1.3,7,10,21,16,Optimization,10,22,1.0,1.0,19.83327317844641,1.9833273178446411,0.9015124172021096
resource_rich,1.3,8,10,31,24,Greedy,10,28,1.0,1.0,20.883600242241407,2.0883600242241407,0.745842865794336
resource_rich,1.3,8,10,31,24,Optimization,10,28,1.0,1.0,17.495475785369763,1.7495475785369763,0.624838420906063
resource_rich,1.3,9,10,30,23,Greedy,10,20,1.0,1.0,18.781233565595155,1.8781233565595155,0.9390616782797577
resource_rich,1.3,9,10,30,23,Optimization,10,20,1.0,1.0,17.48150667978714,1.7481506679787142,0.8740753339893571
resource_rich,1.3,10,10,21,16,Greedy,9,34,0.9,0.9444444444444444,16.17835484684518,1.797594982982798,0.4758339660836818
resource_rich,1.3,10,10,21,16,Optimization,10,36,1.0,1.0,15.237150359930142,1.5237150359930143,0.4232541766647262
resource_rich,1.3,11,10,23,18,Greedy,10,27,1.0,1.0,13.896193479481608,1.3896193479481609,0.5146738325733929
resource_rich,1.3,11,10,23,18,Optimization,10,27,1.0,1.0,12.821805213221682,1.2821805213221682,0.474881674563766
resource_rich,1.3,12,10,31,24,Greedy,10,23,1.0,1.0,23.806185395626517,2.3806185395626516,1.0350515389402835
resource_rich,1.3,12,10,31,24,Optimization,10,23,1.0,1.0,19.927035162451496,1.9927035162451496,0.866392833150065
resource_rich,1.3,13,10,26,20,Greedy,8,17,0.8,0.85,14.235200499624522,1.7794000624530653,0.8373647352720307
resource_rich,1.3,13,10,26,20,Optimization,10,20,1.0,1.0,16.34890136491763,1.634890136491763,0.8174450682458815
resource_rich,1.3,14,10,22,17,Greedy,9,37,0.9,0.9024390243902439,14.335526050333595,1.5928362278148438,0.38744665000901607
resource_rich,1.3,14,10,22,17,Optimization,10,41,1.0,1.0,17.283084865473853,1.7283084865473852,0.42153865525545986
