seed,alpha,beta,supply_ratio,num_tasks,num_volunteers,total_demand,completed_tasks,completed_urgency,completion_rate,urgency_weighted_completion,total_distance_km,distance_per_completed_task,distance_per_completed_urgency
17,2.0,1.0,1.0,10,22,22,9,34,0.9,0.9444444444444444,13.991684004098953,1.554631556010995,0.41152011776761627
17,5.0,1.0,1.0,10,22,22,10,36,1.0,1.0,19.4878431791453,1.94878431791453,0.5413289771984806
17,10.0,1.0,1.0,10,22,22,10,36,1.0,1.0,19.4878431791453,1.94878431791453,0.5413289771984806
17,20.0,1.0,1.0,10,22,22,10,36,1.0,1.0,19.4878431791453,1.94878431791453,0.5413289771984806
17,50.0,1.0,1.0,10,22,22,10,36,1.0,1.0,19.4878431791453,1.94878431791453,0.5413289771984806
18,0.5,1.0,1.0,10,18,18,6,22,0.6,0.6285714285714286,5.724089459699686,0.9540149099499476,0.2601858845318039
18,1.0,1.0,1.0,10,18,18,9,33,0.9,0.9428571428571428,12.87636337141782,1.4307070412686467,0.39019282943690364
18,2.0,1.0,1.0,10,18,18,9,33,0.9,0.9428571428571428,12.87636337141782,1.4307070412686467,0.39019282943690364
18,5.0,1.0,1.0,10,18,18,10,35,1.0,1.0,18.01391061299843,1.801391061299843,0.5146831603713837
18,10.0,1.0,1.0,10,18,18,10,35,1.0,1.0,18.01391061299843,1.801391061299843,0.5146831603713837
18,20.0,1.0,1.0,10,18,18,10,35,1.0,1.0,18.01391061299843,1.801391061299843,0.5146831603713837
18,50.0,1.0,1.0,10,18,18,10,35,1.0,1.0,18.01391061299843,1.801391061299843,0.5146831603713837
19,0.5,1.0,1.0,10,16,16,4,16,0.4,0.6153846153846154,5.75108314674684,1.43777078668671,0.3594426966716775
19,1.0,1.0,1.0,10,16,16,5,19,0.5,0.7307692307692307,8.690813008407575,1.738162601681515,0.45741121096881976
19,2.0,1.0,1.0,10,16,16,7,23,0.7,0.8846153846153846,14.30773121734836,2.0439616024783374,0.622075270319494
19,5.0,1.0,1.0,10,16,16,9,25,0.9,0.9615384615384616,19.692353667990382,2.188039296443376,0.7876941467196152
19,10.0,1.0,1.0,10,16,16,10,26,1.0,1.0,25.633064812769028,2.5633064812769026,0.9858871081834242
19,20.0,1.0,1.0,10,16,16,10,26,1.0,1.0,25.633064812769028,2.5633064812769026,0.9858871081834242
19,50.0,1.0,1.0,10,16,16,10,26,1.0,1.0,25.633064812769028,2.5633064812769026,0.9858871081834242
20,0.5,1.0,1.0,10,16,16,5,16,0.5,0.6956521739130435,4.318732481529145,0.863746496305829,0.2699207800955716
20,1.0,1.0,1.0,10,16,16,5,16,0.5,0.6956521739130435,4.318732481529145,0.863746496305829,0.2699207800955716
20,2.0,1.0,1.0,10,16,16,7,20,0.7,0.8695652173913043,10.362818531959688,1.4804026474228125,0.5181409265979844
20,5.0,1.0,1.0,10,16,16,9,22,0.9,0.9565217391304348,17.127678388294267,1.9030753764771409,0.7785308358315576
20,10.0,1.0,1.0,10,16,16,10,23,1.0,1.0,23.323005932496404,2.3323005932496406,1.014043736195496
20,20.0,1.0,1.0,10,16,16,10,23,1.0,1.0,23.323005932496404,2.3323005932496406,1.014043736195496
20,50.0,1.0,1.0,10,16,16,10,23,1.0,1.0,23.323005932496404,2.3323005932496406,1.014043736195496
21,0.5,1.0,1.0,10,18,18,5,19,0.5,0.59375,5.02431875164847,1.004863750329694,0.26443782903413
21,1.0,1.0,1.0,10,18,18,7,26,0.7,0.8125,11.164978650643931,1.5949969500919903,0.42942225579399734
21,2.0,1.0,1.0,10,18,18,9,30,0.9,0.9375,16.399822604069612,1.8222025115632903,0.5466607534689871
21,5.0,1.0,1.0,10,18,18,10,32,1.0,1.0,23.903494406136204,2.3903494406136203,0.7469842001917564
21,10.0,1.0,1.0,10,18,18,10,32,1.0,1.0,23.903494406136204,2.3903494406136203,0.7469842001917564
21,20.0,1.0,1.0,10,18,18,10,32,1.0,1.0,23.903494406136204,2.3903494406136203,0.7469842001917564
21,50.0,1.0,1.0,10,18,18,10,32,1.0,1.0,23.903494406136204,2.3903494406136203,0.7469842001917564
22,0.5,1.0,1.0,10,17,17,6,22,0.6,0.6875,6.136031643144824,1.0226719405241373,0.2789105292338556
22,1.0,1.0,1.0,10,17,17,6,25,0.6,0.78125,7.850640029375684,1.3084400048959475,0.31402560117502737
22,2.0,1.0,1.0,10,17,17,8,30,0.8,0.9375,14.986609353380112,1.873326169172514,0.4995536451126704
22,5.0,1.0,1.0,10,17,17,10,32,1.0,1.0,21.853560152611237,2.1853560152611236,0.6829237547691012
22,10.0,1.0,1.0,10,17,17,10,32,1.0,1.0,21.853560152611237,2.1853560152611236,0.6829237547691012
22,20.0,1.0,1.0,10,17,17,10,32,1.0,1.0,21.853560152611237,2.1853560152611236,0.6829237547691012
22,50.0,1.0,1.0,10,17,17,10,32,1.0,1.0,21.853560152611237,2.1853560152611236,0.6829237547691012
23,0.5,1.0,1.0,10,20,20,4,17,0.4,0.5862068965517241,4.17485152535277,1.0437128813381924,0.2455795014913394
23,1.0,1.0,1.0,10,20,20,5,21,0.5,0.7241379310344828,6.344652599334619,1.2689305198669238,0.30212631425402947
23,2.0,1.0,1.0,10,20,20,8,27,0.8,0.9310344827586207,13.432831220881958,1.6791039026102448,0.49751226744007254
23,5.0,1.0,1.0,10,20,20,9,28,0.9,0.9655172413793104,16.20114703282139,1.8001274480912655,0.5786123940293353
23,10.0,1.0,1.0,10,20,20,10,29,1.0,1.0,22.70918905602471,2.270918905602471,0.7830754846905073
23,20.0,1.0,1.0,10,20,20,10,29,1.0,1.0,22.70918905602471,2.270918905602471,0.7830754846905073
23,50.0,1.0,1.0,10,20,20,10,29,1.0,1.0,22.70918905602471,2.270918905602471,0.7830754846905073
24,0.5,1.0,1.0,10,22,22,3,12,0.3,0.4,1.9625478372242553,0.6541826124080851,0.16354565310202127
24,1.0,1.0,1.0,10,22,22,6,21,0.6,0.7,8.10533127406752,1.35088854567792,0.3859681559079772
24,2.0,1.0,1.0,10,22,22,9,28,0.9,0.9333333333333333,18.68156864603774,2.0757298495597487,0.6671988802156336
24,5.0,1.0,1.0,10,22,22,10,30,1.0,1.0,27.467313436894273,2.746731343689427,0.9155771145631424
24,10.0,1.0,1.0,10,22,22,10,30,1.0,1.0,27.467313436894273,2.746731343689427,0.9155771145631424
24,20.0,1.0,1.0,10,22,22,10,30,1.0,1.0,27.467313436894273,2.746731343689427,0.9155771145631424
24,50.0,1.0,1.0,10,22,22,10,30,1.0,1.0,27.467313436894273,2.746731343689427,0.9155771145631424
25,0.5,1.0,1.0,10,16,16,5,22,0.5,0.6875,6.066450685310937,1.2132901370621874,0.2757477584232244
25,1.0,1.0,1.0,10,16,16,6,23,0.6,0.71875,6.973619630895464,1.1622699384825774,0.3032008535171941
25,2.0,1.0,1.0,10,16,16,8,30,0.8,0.9375,15.169747233267842,1.8962184041584802,0.5056582411089281
25,5.0,1.0,1.0,10,16,16,8,30,0.8,0.9375,15.169747233267842,1.8962184041584802,0.5056582411089281
25,10.0,1.0,1.0,10,16,16,9,31,0.9,0.96875,22.29964964277064,2.477738849196738,0.719343536863569
25,20.0,1.0,1.0,10,16,16,9,31,0.9,0.96875,22.29964964277064,2.477738849196738,0.719343536863569
25,50.0,1.0,1.0,10,16,16,9,31,0.9,0.96875,22.29964964277064,2.477738849196738,0.719343536863569
26,0.5,1.0,1.0,10,19,19,4,16,0.4,0.6153846153846154,4.0641315424591475,1.0160328856147869,0.2540082214036967
26,1.0,1.0,1.0,10,19,19,5,17,0.5,0.6538461538461539,5.05855044133253,1.011710088266506,0.2975617906666194
26,2.0,1.0,1.0,10,19,19,8,23,0.8,0.8846153846153846,13.093045196417627,1.6366306495522034,0.5692628346268533
26,5.0,1.0,1.0,10,19,19,9,25,0.9,0.9615384615384616,17.674530909690432,1.9638367677433815,0.7069812363876173
26,10.0,1.0,1.0,10,19,19,10,26,1.0,1.0,24.84780441739571,2.484780441739571,0.9556847852844504
26,20.0,1.0,1.0,10,19,19,10,26,1.0,1.0,24.84780441739571,2.484780441739571,0.9556847852844504
26,50.0,1.0,1.0,10,19,19,10,26,1.0,1.0,24.84780441739571,2.484780441739571,0.9556847852844504
27,0.5,1.0,1.0,10,19,19,6,22,0.6,0.8148148148148148,5.6833422090580115,0.9472237015096686,0.25833373677536414
27,1.0,1.0,1.0,10,19,19,7,24,0.7,0.8888888888888888,7.642562594959065,1.0917946564227237,0.3184401081232944
27,2.0,1.0,1.0,10,19,19,8,25,0.8,0.9259259259259259,9.566186074255581,1.1957732592819477,0.38264744297022324
27,5.0,1.0,1.0,10,19,19,9,26,0.9,0.9629629629629629,12.489251186990636,1.3876945763322928,0.4803558148842552
27,10.0,1.0,1.0,10,19,19,10,27,1.0,1.0,17.633645619160802,1.7633645619160803,0.6530979858948446
27,20.0,1.0,1.0,10,19,19,10,27,1.0,1.0,17.633645619160802,1.7633645619160803,0.6530979858948446
27,50.0,1.0,1.0,10,19,19,10,27,1.0,1.0,17.633645619160802,1.7633645619160803,0.6530979858948446
28,0.5,1.0,1.0,10,21,21,4,13,0.4,0.4482758620689655,3.984849292928662,0.9962123232321655,0.30652686868682016
